date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:00:26	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2020%20Jul%202026%2007:00:31%20GMT	http://proteksistem.com/tr.html	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/tr.0.delayed	(from )
10:00:27	17541/17541	---MCZ	200	added ('OK')	text/html	etag:W/%22691d8bbb-4485%22	https://proteksistem.com/tr.html	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/tr.html	(from )
10:00:27	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jul%202026%2007:00:32%20GMT	https://proteksistem.com/robots.txt		(from )
10:00:28	101595/101595	---M--	200	added ('OK')	text/css	etag:%22666c22bc-18cdb%22	https://proteksistem.com/css/bootstrap.min.css	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/css/bootstrap.min.css	(from https://proteksistem.com/tr.html)
10:00:28	17780/17780	---M--	200	added ('OK')	text/css	etag:%22666c22bc-4574%22	https://proteksistem.com/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/font-awesome/css/font-awesome.min.css	(from https://proteksistem.com/tr.html)
10:00:28	57095/57095	---M--	200	added ('OK')	text/css	etag:%22666c22bc-df07%22	https://proteksistem.com/css/animate.css	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/css/animate.css	(from https://proteksistem.com/tr.html)
10:00:28	11327/11327	---M--	200	added ('OK')	text/css	etag:%22666c22bc-2c3f%22	https://proteksistem.com/css/style.css	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/css/style.css	(from https://proteksistem.com/tr.html)
10:00:29	33688/33688	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Jan%202024%2019:54:06%20GMT	https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.2.1/css/flag-icon.min.css	C:/My%20Web%20Sites/ProtekSistem/cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.2.1/css/flag-icon.min.css	(from https://proteksistem.com/tr.html)
10:00:29	17103/17103	---MCZ	200	added ('OK')	text/html	etag:W/%22691d8bbb-42cf%22	https://proteksistem.com/en.html	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/en.html	(from https://proteksistem.com/tr.html)
10:00:29	40160/40160	---M--	200	added ('OK')	image/jpeg	etag:%22666c22bc-9ce0%22	https://proteksistem.com/img/kurumsal.jpg	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/img/kurumsal.jpg	(from https://proteksistem.com/tr.html)
10:00:29	147246/147246	---M--	200	added ('OK')	image/jpeg	etag:%22666c22bc-23f2e%22	https://proteksistem.com/img/services/erp.jpg	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/img/services/erp.jpg	(from https://proteksistem.com/tr.html)
10:00:29	19852/19852	---M--	200	added ('OK')	image/jpeg	etag:%22666c22bc-4d8c%22	https://proteksistem.com/img/services/crm.jpg	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/img/services/crm.jpg	(from https://proteksistem.com/tr.html)
10:00:30	8033/8033	---M--	200	added ('OK')	image/jpeg	etag:%22666c22bc-1f61%22	https://proteksistem.com/img/services/efatura_small.jpg	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/img/services/efatura_small.jpg	(from https://proteksistem.com/tr.html)
10:00:30	40254/40254	---M--	200	added ('OK')	image/jpeg	etag:%22666c22bc-9d3e%22	https://proteksistem.com/img/3.jpg	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/img/3.jpg	(from https://proteksistem.com/tr.html)
10:00:30	251706/251706	---M--	200	added ('OK')	image/jpeg	etag:%22666c22bc-3d73a%22	https://proteksistem.com/img/slide6.jpg	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/img/slide6.jpg	(from https://proteksistem.com/tr.html)
10:00:30	93100/93100	---M--	200	added ('OK')	application/javascript	etag:%22666c22bc-16bac%22	https://proteksistem.com/js/jquery.min.js	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/js/jquery.min.js	(from https://proteksistem.com/tr.html)
10:00:30	29097/29097	---M--	200	added ('OK')	application/javascript	etag:%22666c22bc-71a9%22	https://proteksistem.com/js/bootstrap.min.js	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/js/bootstrap.min.js	(from https://proteksistem.com/tr.html)
10:00:31	5555/5555	---M--	200	added ('OK')	application/javascript	etag:%22666c22bc-15b3%22	https://proteksistem.com/js/jquery.easing.min.js	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/js/jquery.easing.min.js	(from https://proteksistem.com/tr.html)
10:00:31	2427/2427	---M--	200	added ('OK')	application/javascript	etag:%22666c22bc-97b%22	https://proteksistem.com/js/jquery.scrollTo.js	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/js/jquery.scrollTo.js	(from https://proteksistem.com/tr.html)
